Frase,emoji
Tengo hambre,🍔
Estoy muerto de hambre,🍔
No aguanto más necesito comer,🍔
Mi estómago está rugiendo,🍔
Podría comerme una vaca,🍔
Tengo un hambre de lobo,🍔
Estoy más vacío que nada,🍔
Me estoy desvaneciendo de hambre,🍔
Necesito algo ya o me desmayo,🍔
Mi estómago está haciendo ruidos de ultratumba,🍔
Comería hasta una piedra en este momento,🍔
Me ruge la tripa,🍔
Estoy feliz,😄
Que día tan increíble,😄
No puedo estar más contento,😄
Estoy en las nubes,😄
Todo salió genial hoy,😄
Todo salió increíble,😄
Soy un mar de felicidad,😄
Tengo una sonrisa de oreja a oreja,😄
No me cabe la sonrisa en la cara,😄
Estoy en el paraíso,😄
Que increíble es la vida,😄
Suena rico,😋
Se me hace agua la boca,😋
Que manjar,😋
Huele delicioso,😋
Huele increíble,😋
Me muero por probarlo,😋
Eso se ve espectacular,😋
Se me está antojando,😋
Que gran antojo,😋
Se me antoja,😋
Es comida de dioses,😋
Me encanta,🥰
Te amo,🥰
Eres mi vida,🥰
Te amo con todo mi corazón,🥰
Eres mi vida entera,🥰
Cada día te amo más,🥰
Eres mi amor,🥰
Te adoro completamente,🥰
Eres mi media naranja,🥰
Sin ti no soy nada,🥰
Mi amor por tí no tiene límites,🥰
Jajaja,🤣
Estoy muerto de risa,🤣
No puedo parar de reír,🤣
Que gracioso,🤣
No aguanto la risa,🤣
Que locura más divertida,🤣
Que chistoso,🤣
Me río para no llorar,🤣
Eres muy ocurrente,🤣
Que ocurrente,🤣
No lo vi venir,🤣
Que mustia,😑
Ni muerto lo haría,😑
Paso de largo,😑
Ni en mis mejores sueños,😑
Eso no me llama la atención,😑
Qué flojera,😑
Ni lo considero,😑
Me da igual,😑
Nada que ver,😑
Paso completamente,😑
No me late,😑
Que aburrido,🙄
Más aburrido que nada,🙄
Esto no tiene chiste,🙄
Qué plano,🙄
Más soso que nada,🙄
Qué soso,🙄
Me estoy durmiendo,🙄
Qué rollo,🙄
No me interesa,🙄
No me interesa para nada,🙄
Más muerto que vivo,🙄
Que fastidio,🙄
Qué flojera,🙄
En serio?,😮
Qué dijiste?,😮
No me lo creo,😮
No lo puedo creer,😮
Me estás tomando el pelo?,😮
Esto no puede ser real,😮
Estoy alucinando,😮
Nunca me lo esperé,😮
Esto supera todo,😮
Que locura,😮
Que loco,😮
No me digas,😮
Estoy en shock,😮
Me sorprendiste,😮
Increíble,😮
Impresionante,😮
Aún lo estoy asimilando,😮
Soy genial,😎
Soy el mejor,😎
Nadie me para,😎
Nada me detiene,😎
Soy un crack,😎
Lo logro todo,😎
Soy imparable,😎
Tengo todo bajo control,😎
Nada me asusta,😎
Soy una máquina,😎
Puedo con todo,😎
Te odio,😡
Que rabia,😡
Me hierve la sangre,😡
No te soporto,😡
Me das coraje,😡
Estoy que exploto,😡
Qué coraje me das,😡
Solo me estás provocando,😡
No te aguanto,😡
No aguanto tu presencia,😡
Eres mi peor pesadilla,😡
Me sacas de quicio,😡
Quedé,🤡
Qué vergüenza,🤡
No quiero ni recordarlo,🤡
Me quiero morir,🤡
Desearía ser invisible,🤡
Que papelón,🤡
Trágame tierra,🤡
Quiero que me trague la tierra,🤡
No puedo creer lo que pasó,🤡
Que incómodo,🤡
Qué momento más incómodo,🤡
Me quiero esconder,🤡
Nunca más,🤡
Que nervios,😬
Estoy que no quepo,😬
No aguanto los nervios,😬
Me tiemblan las piernas,😬
Estoy temblando,😬
Estoy muy estresado,😬
Estoy súper estresado,😬
No puedo calmarme,😬
Siento que exploto,😬
Que intranquilo estoy,😬
Tengo los nervios de punta,😬
No para mi corazón,😬
Me está latiendo el corazón,😬
Estoy que me muero,😬
Pues no lo sé,🤷‍♂️
No tengo ni idea,🤷‍♂️
Me da igual,🤷‍♂️
No me importa,🤷‍♂️
Ni modo,🤷‍♂️
Qué más da,🤷‍♂️
No sé y no me interesa,🤷‍♂️
Ni fu ni fa,🤷‍♂️
No tengo opinión,🤷‍♂️
Me importa un comino,🤷‍♂️
Ni me va ni me viene,🤷‍♂️
Que asco,🤮
Esto es repugnante,🤮
No puedo ni mirarlo,🤮
Me dan ganas de vomitar,🤮
Que ganas de vomitar,🤮
Que repugnante,🤮
Que asqueroso,🤮
Que cosa tan asquerosa,🤮
Ni muerto lo toco,🤮
Me provoca náuseas,🤮
No aguanto ese olor,🤮
Que olor tan desagradable,🤮
Esto está podrido,🤮
Me dan escalofríos,🤮
Es inmundo,🤮
